Year,Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
1930,13.jul.30,15:00,Group_1,Pocitos,Montevideo,Uruguay,France,4,1,Mexico,
1930,13.jul.30,15:00,Group_4,Parque_Central,Montevideo,Uruguay,USA,3,0,Belgium,
1930,14.jul.30,12:45,Group_2,Parque_Central,Montevideo,Uruguay,Yugoslavia,2,1,Brazil,
1930,14.jul.30,14:50,Group_3,Pocitos,Montevideo,Uruguay,Romania,3,1,Peru,
1930,15.jul.30,16:00,Group_1,Parque_Central,Montevideo,Uruguay,Argentina,1,0,France,
1930,16.jul.30,14:45,Group_1,Parque_Central,Montevideo,Uruguay,Chile,3,0,Mexico,
1930,17.jul.30,12:45,Group_2,Parque_Central,Montevideo,Uruguay,Yugoslavia,4,0,Bolivia,
1930,17.jul.30,14:45,Group_4,Parque_Central,Montevideo,Uruguay,USA,3,0,Paraguay,
1930,18.jul.30,14:30,Group_3,Estadio_Centenario,Montevideo,Uruguay,Uruguay,1,0,Peru,
1930,19.jul.30,12:50,Group_1,Estadio_Centenario,Montevideo,Uruguay,Chile,1,0,France,
1930,19.jul.30,15:00,Group_1,Estadio_Centenario,Montevideo,Uruguay,Argentina,6,3,Mexico,
1930,20.jul.30,13:00,Group_2,Estadio_Centenario,Montevideo,Uruguay,Brazil,4,0,Bolivia,
1930,20.jul.30,15:00,Group_4,Estadio_Centenario,Montevideo,Uruguay,Paraguay,1,0,Belgium,
1930,21.jul.30,14:50,Group_3,Estadio_Centenario,Montevideo,Uruguay,Uruguay,4,0,Romania,
1930,22.jul.30,14:45,Group_1,Estadio_Centenario,Montevideo,Uruguay,Argentina,3,1,Chile,
1930,26.jul.30,14:45,Semi-finals,Estadio_Centenario,Montevideo,Uruguay,Argentina,6,1,USA,
1930,27.jul.30,14:45,Semi-finals,Estadio_Centenario,Montevideo,Uruguay,Uruguay,6,1,Yugoslavia,
1930,30.jul.30,14:15,Final,Estadio_Centenario,Montevideo,Uruguay,Uruguay,4,2,Argentina,
1934,27.maj.34,16:30,Preliminary_round,Stadio_Benito_Mussolini,Turin,Italy,Austria,3,2,France,Austria_win_after_extra_time_
1934,27.maj.34,16:30,Preliminary_round,Giorgio_Ascarelli,Naples,Italy,Hungary,4,2,Egypt,
1934,27.maj.34,16:30,Preliminary_round,San_Siro,Milan,Italy,Switzerland,3,2,Netherlands,
1934,27.maj.34,16:30,Preliminary_round,Littorale,Bologna,Italy,Sweden,3,2,Argentina,
1934,27.maj.34,16:30,Preliminary_round,Giovanni_Berta,Florence,Italy,Germany,5,2,Belgium,
1934,27.maj.34,16:30,Preliminary_round,Luigi_Ferraris,Genoa,Italy,Spain,3,1,Brazil,
1934,27.maj.34,16:30,Preliminary_round,Nazionale_PNF,Rome,Italy,Italy,7,1,USA,
1934,27.maj.34,16:30,Preliminary_round,Littorio,Trieste,Italy,Czechoslovakia,2,1,Romania,
1934,31.maj.34,16:30,Quarter-finals,Stadio_Benito_Mussolini,Turin,Italy,Czechoslovakia,3,2,Switzerland,
1934,31.maj.34,16:30,Quarter-finals,San_Siro,Milan,Italy,Germany,2,1,Sweden,
1934,31.maj.34,16:30,Quarter-finals,Giovanni_Berta,Florence,Italy,Italy,1,1,Spain,
1934,31.maj.34,16:30,Quarter-finals,Littorale,Bologna,Italy,Austria,2,1,Hungary,
1934,01.jun.34,16:30,Quarter-finals,Giovanni_Berta,Florence,Italy,Italy,1,0,Spain,
1934,03.jun.34,16:30,Semi-finals,San_Siro,Milan,Italy,Italy,1,0,Austria,
1934,03.jun.34,16:30,Semi-finals,Nazionale_PNF,Rome,Italy,Czechoslovakia,3,1,Germany,
1934,07.jun.34,18:00,Match_for_third_place,Giorgio_Ascarelli,Naples,Italy,Germany,3,2,Austria,
1934,10.jun.34,17:30,Final,Nazionale_PNF,Rome,Italy,Italy,2,1,Czechoslovakia,Italy_win_after_extra_time_
1938,04.jun.38,17:00,First_round,Parc_des_Princes,Paris,France,Switzerland,1,1,Germany,
1938,05.jun.38,17:00,First_round,Velodrome_Municipale,Reims,France,Hungary,6,0,Dutch_East_Indies,
1938,05.jun.38,17:00,First_round,Stade_Olympique,Colombes,France,France,3,1,Belgium,
1938,05.jun.38,17:00,First_round,Stade_Municipal,Toulouse,France,Cuba,3,3,Romania,
1938,05.jun.38,17:00,First_round,Stade_V???lodrome,Marseilles,France,Italy,2,1,Norway,Italy_win_after_extra_time_
1938,05.jun.38,17:30,First_round,Stade_de_la_Meinau,Strasbourg,France,Brazil,6,5,Poland,Brazil_win_after_extra_time_
1938,05.jun.38,18:30,First_round,Cavee_Verte,Le_Havre,France,Czechoslovakia,3,0,Netherlands,Czechoslovakia_win_after_extra_time_
1938,09.jun.38,18:00,First_round,Stade_Municipal,Toulouse,France,Cuba,2,1,Romania,
1938,09.jun.38,18:00,First_round,Parc_des_Princes,Paris,France,Switzerland,4,2,Germany,
